Date,Open,High,Low,Close,Volume
"June 3, 2021",818.85,849,810.7,825.3,24105079.0
"June 4, 2021",830.8,841.95,823,833.85,14457348.0
"June 7, 2021",837.4,898.8,835.65,878.6,33684310.0
"June 8, 2021",883.4,887.8,859.15,874.2,16422574.0
"June 9, 2021",879.25,901,831.3,852.6,31225441.0
"June 10, 2021",858.55,863.95,843.3,846.75,11744190.0
"June 11, 2021",852,856.4,820.7,839.75,17460610.0
"June 14, 2021",755.8,783.7,681.1,768.45,89771631.0
"June 15, 2021",802.9,802.9,755,761.85,45408426.0
"June 16, 2021",755,755,697.8,706.7,29440056.0
"June 17, 2021",683,704.65,638.35,646.9,70812142.0
"June 18, 2021",643.2,704.6,638.1,694.35,76266975.0
"June 21, 2021",692,744.65,685.1,731.05,51759617.0
"June 22, 2021",740,761.65,738,742.9,35597113.0
"June 23, 2021",749,757,715.5,718.7,31168761.0
"June 24, 2021",724,725,701.7,709.9,21503302.0
"June 25, 2021",715,719,706.5,712.2,12085421.0
"June 28, 2021",719,729.95,713,716.25,14139292.0
"June 29, 2021",717.5,723,709,711,9303151.0
"June 30, 2021",717.6,717.6,702.1,703.7,9100756.0
"July 1, 2021",706,711.85,700,703.1,8035542.0
"July 2, 2021",705,724.3,705,710.4,17676086.0
"July 5, 2021",717,721,703,710.05,11105134.0
"July 6, 2021",712,731.95,707.1,712.7,14580124.0
"July 7, 2021",716.9,723,706,720.1,8719991.0
"July 8, 2021",724,728,709.1,711.7,7804439.0
"July 9, 2021",712.5,737,708.35,728.5,14924156.0
"July 12, 2021",734.4,735.65,715.05,718.05,8664504.0
"July 13, 2021",720,720.9,702,704,12287372.0
